Time,Attention,Emotion,Blinks,Yawns,Head
21:17:03,85,neutral,3,0,Forward
21:20:21,100,sad,1,0,Forward
21:20:26,92,neutral,4,0,Forward
21:20:31,83,neutral,6,2,Forward
21:20:36,100,happy,9,2,Forward
21:20:41,72,Unknown,10,2,Left
21:20:46,100,sad,12,2,Forward
21:20:51,100,Unknown,12,2,Forward
21:20:56,88,Unknown,14,2,Forward
21:21:01,0,Unknown,18,2,No Face
21:21:06,80,Unknown,20,2,Forward
21:21:11,100,Unknown,21,2,Forward
21:21:16,100,neutral,22,2,Forward
21:21:21,100,happy,22,2,Forward
21:21:26,100,neutral,23,2,Forward
21:21:31,80,sad,25,3,Forward
21:21:36,74,Unknown,30,4,Left
21:21:41,100,neutral,32,4,Forward
21:21:46,100,neutral,33,4,Forward
21:21:51,100,happy,35,4,Forward
21:21:56,100,neutral,36,4,Forward
21:22:01,94,sad,41,4,Forward
21:22:06,88,neutral,43,4,Forward
21:22:11,100,sad,46,4,Forward
21:22:16,82,sad,50,4,Forward
21:22:21,0,Unknown,57,4,No Face
21:22:26,80,Unknown,57,4,Forward
21:22:32,80,Unknown,64,4,Forward
21:22:37,100,sad,67,4,Forward
21:22:42,100,sad,70,4,Forward
21:22:47,100,Unknown,71,4,Forward
21:22:52,94,sad,75,4,Forward
21:22:57,100,neutral,80,4,Forward
21:42:03,100,sad,2,1,Forward
21:42:08,100,happy,3,1,Forward
21:42:13,76,Unknown,4,1,Right
21:42:18,80,happy,5,2,Left
21:42:23,80,sad,7,2,Forward
21:44:37,100,neutral,0,0,Forward
21:44:42,100,neutral,0,0,Forward
21:44:47,80,neutral,0,0,Forward
21:44:52,80,Unknown,1,0,Left
21:44:57,78,neutral,1,0,Forward
21:45:02,80,Unknown,2,0,Right
21:45:07,70,happy,8,0,Forward
21:45:12,100,neutral,17,1,Forward
21:48:29,82,sad,8,0,Forward
21:48:34,79,happy,10,0,Forward
23:21:40,0,Unknown,0,0,No Face
23:21:45,98,neutral,1,0,Forward
23:21:50,88,surprise,1,0,Forward
23:21:55,96,happy,4,1,Forward
23:22:00,90,fear,4,1,Forward
23:22:05,70,surprise,7,1,Forward
23:22:10,96,neutral,9,3,Forward
23:22:15,96,neutral,13,3,Forward
23:26:37,98,sad,0,0,Forward
23:26:42,96,sad,1,0,Forward
23:26:47,100,neutral,2,0,Forward
23:26:52,100,sad,2,0,Forward
23:26:57,92,neutral,4,0,Forward
23:27:02,98,happy,5,0,Forward
23:27:07,100,neutral,5,0,Forward
23:27:12,98,sad,6,0,Forward
23:27:17,96,sad,11,0,Forward
23:27:22,84,sad,13,0,Forward
23:27:27,86,sad,16,0,Forward
23:27:32,100,neutral,18,0,Forward
23:27:37,100,sad,18,0,Forward
23:27:42,92,sad,19,0,Forward
23:27:47,100,sad,21,0,Forward
23:27:52,92,sad,21,0,Forward
23:27:57,100,sad,22,0,Forward
23:28:02,100,neutral,23,0,Forward
23:28:07,100,Unknown,23,0,Forward
23:28:12,91,sad,24,0,Forward
23:28:17,88,surprise,27,1,Forward
23:28:22,68,Unknown,29,1,Left
23:28:27,80,sad,30,1,Forward
23:28:33,92,Unknown,34,1,Left
23:28:38,0,Unknown,36,1,No Face
23:28:43,100,Unknown,38,1,Forward
23:28:48,100,Unknown,39,1,Forward
23:28:53,100,neutral,41,1,Forward
23:28:58,88,Unknown,46,1,Left
23:29:03,92,neutral,50,1,Forward
23:29:08,80,happy,53,1,Forward
23:29:13,96,sad,56,1,Forward
23:29:18,96,sad,56,2,Forward
23:29:23,100,sad,56,2,Forward
23:29:28,86,neutral,61,2,Forward
23:29:33,90,Unknown,65,2,Forward
23:29:38,100,sad,66,2,Forward
23:29:43,86,Unknown,69,2,Left
23:29:48,88,angry,76,2,Forward
23:29:53,88,sad,82,2,Forward
23:29:58,95,surprise,86,2,Forward
23:30:03,100,neutral,86,2,Forward
23:30:08,100,sad,87,2,Forward
23:30:14,96,sad,88,2,Forward
23:30:19,92,sad,92,2,Forward
23:30:24,100,Unknown,92,2,Forward
23:30:29,100,Unknown,96,2,Forward
23:30:34,80,Unknown,100,2,Forward
23:30:39,100,neutral,104,2,Forward
23:30:44,100,sad,104,2,Forward
23:30:49,100,Unknown,105,2,Forward
23:30:54,100,sad,105,2,Forward
23:30:59,90,sad,106,2,Forward
23:31:04,100,neutral,106,2,Forward
23:31:09,100,neutral,106,2,Forward
23:31:14,100,neutral,107,2,Forward
23:31:19,100,neutral,108,2,Forward
23:31:24,100,neutral,108,2,Forward
23:31:29,100,Unknown,108,2,Forward
23:31:34,100,Unknown,108,2,Forward
23:31:39,100,Unknown,108,2,Forward
23:31:45,100,Unknown,108,2,Forward
23:31:50,100,neutral,108,2,Forward
23:43:09,98,sad,1,0,Forward
23:43:14,94,sad,4,0,Forward
23:43:19,100,sad,6,0,Forward
23:43:24,100,sad,10,0,Forward
23:43:29,98,sad,11,0,Forward
23:43:35,92,neutral,15,0,Forward
23:43:40,88,Unknown,20,0,Forward
23:43:45,81,angry,27,0,Forward
23:43:50,73,surprise,28,1,Forward
23:43:55,72,angry,34,1,Forward
23:44:00,92,sad,36,2,Forward
23:44:05,88,Unknown,40,2,Forward
23:44:10,100,Unknown,42,2,Forward
23:44:15,96,neutral,46,2,Forward
23:44:20,98,neutral,48,2,Forward
23:44:25,96,neutral,51,2,Forward
23:44:30,96,sad,52,2,Forward
23:44:35,100,neutral,53,2,Forward
23:44:40,98,neutral,53,2,Forward
23:44:45,88,sad,55,2,Forward
23:44:50,100,sad,56,2,Forward
00:08:22,90,surprise,3,0,Forward
00:08:27,95,sad,5,1,Forward
00:08:32,98,neutral,6,2,Forward
00:08:37,75,sad,9,3,Forward
00:08:42,80,angry,12,3,Forward
00:08:47,100,sad,13,4,Forward
00:08:52,100,neutral,16,5,Forward
00:08:57,90,sad,18,5,Forward
00:09:02,100,sad,18,5,Forward
00:09:07,100,neutral,18,5,Forward
16:17:04,0,Unknown,0,0,No Face
16:17:09,100,Unknown,0,0,Forward
16:17:14,94,neutral,0,0,Forward
16:17:19,100,neutral,2,0,Forward
16:17:24,98,Unknown,6,0,Forward
16:17:29,100,neutral,6,0,Forward
16:17:34,100,happy,8,0,Forward
16:17:39,90,happy,8,0,Forward
16:17:44,100,neutral,8,1,Forward
10:54:58,95,neutral,1,0,Forward
10:55:03,80,angry,1,0,Left
10:55:08,80,fear,1,0,Left
10:55:13,80,fear,2,0,Left
10:55:18,80,sad,2,0,Left
10:55:24,80,sad,2,1,Left
10:55:29,80,neutral,2,1,Left
10:55:34,80,fear,2,1,Left
10:55:39,80,neutral,2,1,Left
10:55:44,92,angry,4,1,Right
10:55:49,100,sad,4,1,Forward
10:55:54,86,Unknown,6,1,Forward
10:07:32,97,Unknown,1,0,Forward
10:07:37,100,Unknown,5,0,Forward
10:07:42,77,Unknown,6,1,Right
10:07:47,86,Unknown,8,1,Forward
10:07:52,96,Unknown,11,1,Forward
10:07:57,90,Unknown,15,1,Forward
10:08:02,96,Unknown,18,1,Forward
10:08:08,82,Unknown,22,1,Forward
10:08:13,100,Unknown,26,1,Forward
10:08:18,100,Unknown,27,1,Forward
10:08:23,100,Unknown,27,1,Forward
10:08:28,98,angry,29,1,Forward
10:08:33,100,Unknown,32,1,Forward
10:08:38,100,Unknown,32,1,Forward
10:08:43,100,neutral,34,1,Forward
10:08:48,100,Unknown,36,1,Forward
10:08:53,100,Unknown,36,1,Forward
10:08:58,88,Unknown,37,1,Right
10:09:03,86,Unknown,37,3,Right
10:12:41,80,Unknown,1,0,Right
17:58:40,0,Unknown,0,0,No Face
17:58:45,100,happy,0,0,Forward
17:58:50,100,neutral,1,0,Forward
17:58:55,100,happy,1,1,Forward
17:59:00,0,Unknown,2,1,No Face
16:48:14,96,sad,1,0,Forward
16:48:19,86,sad,2,0,Forward
16:48:24,100,happy,3,0,Forward
16:48:29,95,happy,3,1,Forward
23:19:20,0,Unknown,0,0,No Face
23:19:25,96,neutral,0,0,Forward
23:19:30,84,happy,3,0,Forward
23:19:35,100,neutral,3,1,Forward
23:19:40,100,neutral,4,1,Forward
23:19:45,100,neutral,5,1,Forward
23:19:50,98,neutral,6,1,Forward
23:19:55,100,neutral,8,1,Forward
23:20:00,100,Unknown,10,1,Forward
23:20:06,88,neutral,15,1,Forward
23:20:11,100,neutral,16,1,Forward
23:20:16,100,neutral,22,1,Forward
00:42:10,100,neutral,0,0,Forward
00:42:15,91,neutral,3,1,Forward
00:42:20,94,neutral,8,1,Forward
00:42:25,100,neutral,10,1,Forward
00:42:30,98,neutral,11,1,Forward
00:42:36,100,neutral,14,2,Forward
00:42:50,100,neutral,0,0,Forward
00:42:55,86,happy,1,0,Forward
00:43:00,100,neutral,5,1,Forward
00:43:05,100,neutral,6,1,Forward
00:43:10,100,neutral,7,1,Forward
00:43:15,0,Unknown,7,1,No Face
00:43:20,0,Unknown,7,1,No Face
00:43:25,0,Unknown,7,1,No Face
00:43:30,0,Unknown,7,1,No Face
00:43:35,0,Unknown,7,1,No Face
00:43:40,0,Unknown,7,1,No Face
00:43:45,0,Unknown,7,1,No Face
00:43:50,0,Unknown,7,1,No Face
00:43:55,0,Unknown,7,1,No Face
00:44:00,0,Unknown,7,1,No Face
00:44:05,0,Unknown,7,1,No Face
00:44:10,0,Unknown,7,1,No Face
00:44:15,0,Unknown,7,1,No Face
00:44:20,0,Unknown,7,1,No Face
00:45:36,100,Unknown,0,0,Forward
00:45:41,88,happy,2,1,Forward
00:45:47,100,neutral,2,1,Forward
00:45:52,91,happy,2,1,Forward
00:45:58,100,neutral,2,2,Forward
00:46:03,100,neutral,2,2,Forward
00:46:08,96,neutral,2,2,Forward
00:46:13,100,neutral,4,2,Forward
00:46:18,96,neutral,4,2,Forward
00:48:33,84,Unknown,1,0,Forward
00:48:38,84,happy,2,0,Forward
00:48:43,100,neutral,2,1,Forward
00:48:48,96,neutral,3,1,Forward
00:48:53,94,neutral,5,1,Forward
00:48:58,100,neutral,5,1,Forward
00:49:04,99,happy,7,1,Forward
00:49:09,100,happy,8,1,Forward
00:49:14,78,surprise,8,2,Forward
00:49:20,100,neutral,9,2,Forward
00:49:25,98,sad,9,2,Forward
00:49:30,95,neutral,9,2,Forward
00:49:35,91,happy,12,3,Forward
00:49:40,100,neutral,16,3,Forward
00:49:45,100,neutral,16,3,Forward
00:49:50,92,neutral,16,3,Forward
00:54:02,85,sad,5,0,Forward
00:54:07,100,neutral,8,1,Forward
00:54:12,82,neutral,12,1,Forward
00:54:17,94,neutral,14,1,Forward
00:54:22,72,happy,15,2,Forward
00:54:27,84,neutral,18,2,Forward
00:54:32,80,neutral,22,2,Forward
00:54:37,80,neutral,24,2,Forward
00:56:01,82,neutral,2,0,Forward
00:56:06,94,neutral,4,0,Forward
00:56:11,100,neutral,4,0,Forward
00:56:16,100,neutral,5,0,Forward
00:56:21,90,neutral,5,0,Forward
00:56:44,100,neutral,1,0,Forward
00:56:50,100,neutral,2,0,Forward
00:56:54,100,neutral,5,0,Forward
00:58:40,96,neutral,1,0,Forward
